timestamp,open,high,low,close,volume
2013-10-14,180.7270,182.6910,179.4730,180.9450,1567456
2013-10-11,174.7270,181.6180,172.9820,180.9910,2910050
2013-10-10,171.8180,174.0000,169.8270,172.3550,2201820
2013-10-09,168.3640,173.6360,165.1090,172.6820,2551780
2013-10-08,172.3640,172.9270,169.4550,170.4000,1652591
2013-10-07,167.0910,167.0910,162.2730,166.6270,2918757
2013-10-04,169.8180,171.6360,167.4180,169.1730,2507065
2013-10-03,166.3730,170.9090,164.6360,170.5270,2582828
2013-10-01,162.1820,166.5360,160.7360,165.6360,2383530
2013-09-30,165.2730,166.7270,159.7360,160.9000,2827000
2013-09-27,172.5450,172.6090,166.4910,167.8730,3158458
2013-09-26,170.9090,173.9820,170.0000,171.8450,1835532
2013-09-25,171.8180,173.6360,167.0730,170.4000,2274750
2013-09-24,169.6180,176.3640,169.2730,171.9000,1793539
2013-09-23,174.7270,176.8550,169.5820,171.6360,3261126
2013-09-20,187.6450,188.5270,174.7090,179.5090,3454330
2013-09-19,186.3640,194.3640,186.3640,188.5270,3583531
2013-09-18,175.6360,177.2730,175.0910,176.9360,1334608
2013-09-17,175.8000,177.2550,173.6360,175.0640,1373075
2013-09-16,176.4640,179.8360,173.0550,176.3270,2716764
2013-09-13,171.5640,174.7270,169.6180,171.0090,3274370
2013-09-12,175.0000,175.0000,171.0910,172.9090,3313261
2013-09-11,175.8180,177.7550,172.5450,176.2180,2065239
2013-09-10,176.5450,178.5450,174.8360,176.2820,2852894
2013-09-06,163.8360,175.0360,163.8360,174.3640,3580385
2013-09-05,157.8180,164.9270,157.1730,162.3910,3421803
2013-09-04,142.9090,149.2730,141.8640,148.7090,2703288
2013-09-03,151.8180,152.3640,141.3730,142.5180,4465016
2013-09-02,148.1730,151.3450,147.2090,150.3450,1669085
2013-08-30,147.0910,150.4550,145.0180,146.2360,4226370
2013-08-29,147.6360,149.0730,144.2090,146.6730,1977971
2013-08-28,143.6360,146.9270,137.9640,144.8450,6731230
2013-08-27,148.3450,149.7270,145.4550,146.0550,3596390
2013-08-26,155.4550,156.1820,149.5550,150.9730,3797459
2013-08-23,152.7090,157.4180,149.3910,154.9640,4252501
2013-08-22,149.2730,152.0820,145.8000,151.0360,3040048
2013-08-21,157.3270,159.8910,146.2820,150.6640,5695156
2013-08-20,145.2730,151.7450,143.6360,150.8270,3836723
2013-08-19,156.3640,156.7270,147.3730,148.2000,4831744
2013-08-16,162.7270,162.9090,155.6000,156.1090,3638184
2013-08-14,162.8000,166.2270,161.1640,164.3640,1847043
2013-08-13,156.3450,163.1820,154.7820,162.3820,2230426
2013-08-12,160.5450,162.0000,156.6640,157.5000,1883822
2013-08-08,159.0000,160.7270,156.8180,159.1180,1947308
2013-08-07,158.1820,159.9090,156.5000,157.8360,1602464
2013-08-06,162.3730,163.0550,156.7270,157.5000,1389509
2013-08-05,162.7270,165.2730,158.0640,164.1180,1070316
2013-08-02,167.2550,167.3360,160.7550,161.2730,1523088
2013-08-01,167.5000,168.3180,162.2450,166.0000,3012037
2013-07-31,168.0000,168.0000,162.1820,165.3270,3666718
2013-07-30,169.8180,171.7000,167.8180,168.4640,3881427
2013-07-29,169.0910,171.0000,167.8730,169.0730,1688863
2013-07-26,172.1820,173.0910,167.3450,169.5180,2246514
2013-07-25,170.9090,173.1180,168.7270,170.0640,2617664
2013-07-24,176.7640,176.9090,171.3730,173.2450,1674239
2013-07-23,179.4550,180.7270,178.6090,179.9640,3030616
2013-07-22,174.7270,177.7180,173.9450,177.2270,1718387
2013-07-19,179.8180,179.8180,173.6640,174.3730,3188944
2013-07-18,179.6360,180.3640,173.7090,179.1090,4683250
2013-07-17,184.3640,184.3640,176.0910,178.2180,3707330
2013-07-16,188.1270,188.1270,181.3450,182.4000,4265140
2013-07-15,191.8180,193.6180,191.0180,193.2450,1001440
